utilidad_real,inversion,compras_cliente,clusters,cluster_names
0.2152717241000814,-0.015283346750190191,1.470133344876027,4,Comprador Bronce
-0.24608217382668449,-0.31803618374307424,-0.317601190318429,1,Comprador Sin nivel
0.17612757111735014,0.4107043525370623,0.9593520491061823,4,Comprador Bronce
4.174015264888417,5.511757631849362,1.2147426969911046,0,Comprador Plata
0.34602233297997825,0.7430321272029901,-0.317601190318429,1,Comprador Sin nivel
-0.32091733956631363,-0.390855896519587,-0.317601190318429,1,Comprador Sin nivel
-0.2815146681806422,-0.32292664810920346,-0.317601190318429,1,Comprador Sin nivel
-0.29185642611011553,-0.3274517268540428,-0.317601190318429,1,Comprador Sin nivel
-0.026167093444193008,-0.010344909601095407,-0.06221054243350671,1,Comprador Sin nivel
-0.299854585530722,-0.32547224812801545,-0.317601190318429,1,Comprador Sin nivel
-0.2959874655246863,-0.3260012223543444,-0.317601190318429,1,Comprador Sin nivel
-0.3160843153975142,-0.35970953180099197,-0.317601190318429,1,Comprador Sin nivel
-0.32917328752423913,-0.3960525942259452,-0.317601190318429,1,Comprador Sin nivel
-0.3129377187324793,-0.3709902821859384,-0.317601190318429,1,Comprador Sin nivel
-0.27708029661400513,-0.25924652880713117,-0.317601190318429,1,Comprador Sin nivel
-0.31936068216995384,-0.3808960958178049,-0.317601190318429,1,Comprador Sin nivel
3.7618791982312816,4.1938317552727336,1.2147426969911046,0,Comprador Plata
-0.2787036637281196,-0.35753052026085985,-0.06221054243350671,1,Comprador Sin nivel
0.42903184770111086,0.7218290769643025,-0.317601190318429,1,Comprador Sin nivel
-0.3374000408573268,-0.39721745547367854,-0.317601190318429,1,Comprador Sin nivel
-0.3151537367308044,-0.3651365413193754,-0.317601190318429,1,Comprador Sin nivel
0.13292200790028663,0.1402760436981135,-0.317601190318429,1,Comprador Sin nivel
2.6913326686742627,3.47103153021308,-0.317601190318429,0,Comprador Plata
0.2745630876834861,-0.14918118602526761,-0.317601190318429,1,Comprador Sin nivel
-0.27823508999947044,-0.2739503282987315,-0.317601190318429,1,Comprador Sin nivel
-0.30528595353557525,-0.34732010068405667,-0.317601190318429,1,Comprador Sin nivel
-0.21239157676368334,-0.22665086244622784,0.19318010545141556,1,Comprador Sin nivel
-0.30150145431783104,-0.3155575899565166,-0.317601190318429,1,Comprador Sin nivel
0.13872305576161306,0.21508213252644043,0.44857075333633784,4,Comprador Bronce
1.768578015447866,0.7961930463606159,0.70396140122126,4,Comprador Bronce
-0.32499159543557454,-0.3860032867830841,-0.317601190318429,1,Comprador Sin nivel
-0.3331995182356417,-0.3926024454498579,-0.317601190318429,1,Comprador Sin nivel
-0.11134591476390991,-0.20366362091659435,0.19318010545141556,1,Comprador Sin nivel
-0.3164528975360934,-0.36042417060328236,-0.317601190318429,1,Comprador Sin nivel
-0.2840789780532841,-0.2962963053268642,-0.317601190318429,1,Comprador Sin nivel
-0.29560793540179287,-0.36868143280400395,-0.317601190318429,1,Comprador Sin nivel
0.11367151020151108,0.1295208712362773,-0.317601190318429,1,Comprador Sin nivel
-0.2789302140168622,-0.28964110765698015,-0.06221054243350671,1,Comprador Sin nivel
-0.2963450996789513,-0.3778479136789267,-0.317601190318429,1,Comprador Sin nivel
-0.05503838781206854,-0.11060767221768078,-0.317601190318429,1,Comprador Sin nivel
-0.2258824129013028,-0.24174884538016078,0.19318010545141556,1,Comprador Sin nivel
-0.2922178555656094,-0.3641415659888994,-0.317601190318429,1,Comprador Sin nivel
-0.2501872300251495,-0.24208125855770143,-0.317601190318429,1,Comprador Sin nivel
-0.21445665855159615,-0.24991094033443878,-0.06221054243350671,1,Comprador Sin nivel
-0.07901301372899795,-0.16450700430012877,-0.06221054243350671,1,Comprador Sin nivel
-0.32417487580573273,-0.39475513564004433,-0.317601190318429,1,Comprador Sin nivel
-0.2811490055045468,-0.3345291274678146,-0.317601190318429,1,Comprador Sin nivel
0.7405384947221004,1.0254090553036,-0.06221054243350671,4,Comprador Bronce
-0.29906019978888115,-0.3183701535595902,-0.317601190318429,1,Comprador Sin nivel
-0.04379028275450092,0.06568084265765294,-0.06221054243350671,1,Comprador Sin nivel
0.1968005769113551,0.014139252572226754,0.70396140122126,4,Comprador Bronce
-0.1180622841810059,-0.04477245701064214,-0.317601190318429,1,Comprador Sin nivel
-0.2527144627242471,-0.2979495266749351,-0.317601190318429,1,Comprador Sin nivel
-0.3225983660644831,-0.38866301674131143,-0.317601190318429,1,Comprador Sin nivel
-0.29075505888810366,-0.3599292301654585,-0.317601190318429,1,Comprador Sin nivel
-0.3195621250813357,-0.37631603941461117,-0.317601190318429,1,Comprador Sin nivel
-0.32391737921466196,-0.39356388228604816,-0.317601190318429,1,Comprador Sin nivel
-0.15826912150783878,-0.06954848899183043,-0.317601190318429,1,Comprador Sin nivel
2.0710616111460007,5.196348053449328,3.257867880070483,0,Comprador Plata
-0.31363838972859026,-0.3793125694420367,-0.317601190318429,1,Comprador Sin nivel
-0.290664555551106,-0.3657425691749811,-0.317601190318429,1,Comprador Sin nivel
-0.2945430614608284,-0.31025192752188846,-0.317601190318429,1,Comprador Sin nivel
0.14094746429511648,-0.12334989433146955,1.9809146406458715,4,Comprador Bronce
-0.3022132192713804,-0.3795800283205177,-0.317601190318429,1,Comprador Sin nivel
