creado,fecha,proyecto,vendedor,tipo_de_cliente,cliente,cantidad,articulo,costo,impresión,precio,total,mermas,paqueteria_o_gasto_extra,utilidad_real
2019-03-19 17:00:47,2019-03-19,PG1902220404,NORMA MARTINEZ,NUEVO,INTRO MKT,242.0,CILINDROS ROSAS,60.32,2.4,83.42,20187.64,1.0,0.0,4949.08
2019-03-20 11:50:27,2019-03-20,PG1903150502,NORMA MARTINEZ,RECURRENTE,XINE QUINTANA,200.0,BOLIGRAFOS,6.52,0.0,9.78,1956.0,0.0,0.0,652.0
2019-03-21 10:10:57,2019-03-21,PG1903190702,NORMA MARTINEZ,NUEVO,EN MODO AVION,150.0,SELFIE STICK,28.11,2.67,39.34,5901.0,2.0,0.0,1227.78
2019-03-21 12:41:51,2019-03-21,PG1902220503,NORMA MARTINEZ,RECURRENTE,PROSUMEX,170.0,SUDADERAS,190.0,0.0,316.81,53857.7,1.0,95.0,21272.7
2019-03-21 20:00:18,2019-03-21,PG1903131002,NORMA MARTINEZ,NUEVO,TRESD ESTUDIO,110.0,ENCENDEDORES,3.936,0.0,11.41,1255.1,0.0,0.0,822.14
2019-03-27 11:52:11,2019-03-27,PG1903200602,NORMA MARTINEZ,NUEVO,ESCATO,50.0,PELOTAS ANTIESTRES,5.62,0.0,20.79,1039.5,0.0,0.0,758.5
2019-03-27 13:29:05,2019-03-27,PG1903111404,NORMA MARTINEZ,RECURRENTE,PLAN SEGURO,1000.0,BOLIGRAFOS,9.16,6.0,20.2,20200.0,3.0,0.0,5012.52
2019-04-03 09:41:00,2019-04-02,PG1904010602,NORMA MARTINEZ,NUEVO,ETON,122.0,CRAYOLAS,6.08,0.0,17.57,2143.54,0.0,0.0,1401.78
2019-04-04 16:47:06,2019-04-04,PG1903260203,NORMA MARTINEZ,RECURRENTE,IMAGEN LATENTE,1500.0,PELOTAS GOLF,7.52,0.0,9.29,13935.0,0.0,0.0,2655.0
2019-04-04 16:57:06,2019-04-04,PG1903260203,NORMA MARTINEZ,RECURRENTE,IMAGEN LATENTE,1500.0,TARJETEROS,8.21,0.0,10.43,15645.0,0.0,40.0,3290.0
2019-04-04 16:59:29,2019-04-04,PG1904010602,NORMA MARTINEZ,RECURRENTE,XPRESSO EN CREATIVIDAD,75.0,PORTAGAFETES,5.95,0.0,13.98,1048.5,0.0,0.0,602.25
2019-04-05 10:31:27,2019-04-05,PG1904040602,NORMA MARTINEZ,RECURRENTE,FORMAS IMPRESAS,350.0,ANTIESTRES,5.912,0.0,7.97,2789.5,0.0,0.0,720.3
2019-04-08 09:32:12,2019-04-08,PG1903160103,NORMA MARTINEZ,RECURRENTE,MIRIAM RAMOS,10.0,LICORERA,34.96,0.0,96.21,962.1,0.0,0.0,612.5
2019-04-09 17:14:36,2019-04-09,AC1904090103,NORMA MARTINEZ,RECURRENTE,LAGRIET,257.0,TECLADO,215.8,2.48,256.2,65843.4,2.0,0.0,9313.84
2019-04-10 16:36:04,2019-04-10,PG1904020701,NORMA MARTINEZ,RECURRENTE,CREACIONES LIBRES,171.0,LIBRETAS,55.0,0.0,72.6,12414.6,0.0,0.0,3009.6
2019-04-11 10:27:41,2019-04-11,PG1904100502,NORMA MARTINEZ,RECURRENTE,FORMAS IMPRESAS,300.0,VASOS,8.16,0.0,12.23,3669.0,0.0,0.0,1221.0
2019-04-11 16:43:47,2019-04-11,PG1904090503,NORMA MARTINEZ,RECURRENTE,IMAGEN LATENTE,300.0,SET EJECUTIVOS,118.76,0.0,148.79,44637.0,0.0,0.0,9009.0
2019-04-15 18:57:44,2019-04-15,PG1904150302,NORMA MARTINEZ,NUEVO,VIRIDIANA,350.0,MORRALES,6.75,0.0,8.78,3073.0,0.0,0.0,710.5
2019-04-16 10:00:35,2019-04-16,PG1904150404,NORMA MARTINEZ,RECURRENTE,XPRESSO EN CREATIVIDAD,510.0,BOLIGRAFOS,6.5,0.0,10.08,5140.8,0.0,0.0,1825.8
2019-04-16 10:00:35,2019-04-16,PG1904150404,NORMA MARTINEZ,RECURRENTE,XPRESSO EN CREATIVIDAD,510.0,VASO DOBLE PARED,29.95,0.0,45.82,23368.2,0.0,0.0,8093.7
2019-04-16 10:00:35,2019-04-16,PG1904150404,NORMA MARTINEZ,RECURRENTE,XPRESSO EN CREATIVIDAD,1020.0,IDENTIFICADORES,5.69,0.0,7.17,7313.4,0.0,0.0,1509.6
2019-04-16 18:56:59,2019-04-16,PG1904090702,NORMA MARTINEZ,NUEVO,PROMOBRITMA,2000.0,LUPAS,1.5555,0.0,1.97,3940.0,0.0,0.0,829.0
2019-04-17 15:29:19,2019-04-17,PG1904110509,NORMA MARTINEZ,RECURRENTE,DERMOGALENIC,200.0,TAZAS,42.47,0.0,51.98,10396.0,0.0,0.0,1902.0
2019-04-17 15:34:12,2019-04-17,PG1904040709,NORMA MARTINEZ,RECURRENTE,GRUPO NAVITUR,150.0,TARJETEROS,5.59,6.67,17.16,2574.0,1.0,0.0,729.41
2019-04-22 15:02:28,2019-04-22,PG1904160503,NORMA MARTINEZ,RECURRENTE,ALINA OLVERA,830.0,CILINDROS,41.04,0.0,53.35,44280.5,0.0,0.0,10217.3
2019-04-22 15:02:28,2019-04-22,PG1904160503,NORMA MARTINEZ,RECURRENTE,ALINA OLVERA,830.0,LIBRETAS,30.0,0.0,37.5,31125.0,0.0,0.0,6225.0
2019-04-22 15:02:28,2019-04-22,PG1904160503,NORMA MARTINEZ,RECURRENTE,ALINA OLVERA,830.0,BOLIGRAFOS,2.63,0.0,4.23,3510.9,0.0,0.0,1328.0
2019-04-25 18:13:38,2019-04-25,PG1904040201,NORMA MARTINEZ,RECURRENTE,TIC-TECH,50.0,USB,76.0,8.0,136.01,6800.5,2.0,0.0,2448.5
