articulo,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
post_it,0.008853507357082575,0.015830872732759623,0.0068586031638480024,0.008900592159887446,0.006118070036986816,-0.001180962790775831,0.01741406599751706,-0.21255690986557793,0.008572644312988726,-0.0040017172047133315,-0.002401303238359704,0.02130229018888678
pañalera,0.008853507357082575,0.015830872732759623,0.0068586031638480024,0.008900592159887446,0.006118070036986816,-0.001180962790775831,0.01741406599751706,-0.21255690986557793,0.008572644312988726,-0.0040017172047133315,-0.002401303238359704,0.02130229018888678
audífonos,0.008545180209366711,-0.07655382167468483,0.027690353292924,-0.1594290818447598,0.03802255950860832,-0.08750681207655586,0.02189939968008288,0.019291344716234615,0.01931847614001042,0.03871594458661722,-0.061513131631959074,0.014661218090679301
almohada,0.004849807153535626,0.01790599158259777,0.009749024821105401,-0.08835693268091593,0.015182081057897045,-0.005130051121708432,0.014549073379738472,-0.19538949092624835,0.006549215183022466,-0.0030383555412329295,0.0031198486601947996,0.018955393526964754
celular,0.004325517161742856,0.023723902675156686,0.03295131580355298,-0.09854826184310735,-0.019471150698880647,-0.029332823463316726,0.06188989557440261,0.021247987925436307,-0.0181548717234251,-0.10865320599094884,-0.07041935459597042,0.0025265828608701663
kit,0.0005582152128197904,0.01884723581703012,0.023619903191981297,0.029103412083826045,-0.04483762678071021,-0.12206600418269281,0.053644837644477014,0.016493069231981725,-0.09246290656118714,-0.020418859529430095,-0.0563523986012843,0.006467066725102444
cangurera,0.00022062514651960408,0.0026089504171700195,0.015663552628768826,-0.13127834290834647,-0.14661101291162446,0.00476837686174246,0.007974609572838902,0.012277364293290648,-0.06513825097304551,0.015556345529598607,0.031228827842931788,0.0015094256097729145
bata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adaptadores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dispensador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mascarilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reconocimiento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
difusor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aplaudidor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colgador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
termómetro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auriculares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
humificador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joyero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
